season,game_id,team,team_id,FGA,FTA,TOV,OREB,PTS,poss,pace,ortg,ot_periods,game_minutes
2025_full,1022500218,CON,1611661323,73,20,14,7,93,87.0,77.33,106.9,1,45
2025_full,1022500218,IND,1611661325,78,25,16,14,99,86.0,76.44,115.12,1,45
2025_full,1022500220,SEA,1611661328,72,13,12,3,78,84.0,84.0,92.86,0,40
2025_full,1022500220,PHX,1611661317,64,18,17,3,83,84.0,84.0,98.81,0,40
2025_full,1022500221,GSV,1611661331,60,16,8,5,63,70.0,70.0,90.0,0,40
2025_full,1022500221,ATL,1611661330,68,16,9,9,79,71.0,71.0,111.27,0,40
2025_full,1022500222,NYL,1611661313,66,18,12,8,85,75.0,75.0,113.33,0,40
2025_full,1022500222,MIN,1611661324,71,14,10,12,75,74.0,74.0,101.35,0,40
2025_full,1022500225,LVA,1611661319,64,11,13,9,74,71.0,71.0,104.23,0,40
2025_full,1022500225,ATL,1611661330,65,14,10,9,72,70.0,70.0,102.86,0,40
2025_full,1022500223,WAS,1611661322,62,14,14,6,69,76.0,76.0,90.79,0,40
2025_full,1022500223,CON,1611661323,68,19,10,9,80,77.0,77.0,103.9,0,40
2025_full,1022500224,CHI,1611661329,77,10,12,7,88,77.0,77.0,114.29,0,40
2025_full,1022500224,SEA,1611661328,68,23,12,6,94,77.0,77.0,122.08,0,40
2025_full,1022500226,GSV,1611661331,77,17,3,9,91,76.0,76.0,119.74,0,40
2025_full,1022500226,PHX,1611661317,69,23,10,10,98,73.0,73.0,134.25,0,40
2025_full,1022500227,LAS,1611661320,74,8,14,11,81,76.0,76.0,106.58,0,40
2025_full,1022500227,DAL,1611661321,60,14,15,2,80,77.0,77.0,103.9,0,40
2025_full,1022500229,NYL,1611661313,72,15,13,10,85,79.0,79.0,107.59,0,40
2025_full,1022500229,CHI,1611661329,62,29,13,10,91,77.0,77.0,118.18,0,40
2025_full,1022500231,LVA,1611661319,73,10,4,6,83,72.0,72.0,115.28,0,40
2025_full,1022500231,PHX,1611661317,71,13,13,13,61,73.0,73.0,83.56,0,40
2025_full,1022500228,CON,1611661323,67,17,10,8,67,71.0,71.0,94.37,0,40
