player_name,poss,net_rapm,orapm,drapm,rapm_reconstructed,residual,ots,otov,oreb,otrans,dts,dtov,dreb,dtrans
Rae Burrell,5959,0.188,1.087,-0.899,0.683,-0.495,0.0022564408164376104,-0.004477067693737874,0.00951724167316037,0.03138825154142266,-0.01730161613267156,0.013940199485300953,-0.02009042100891517,0.00016749835939366964
Kierstan Bell,3356,0.183,-1.48,1.663,-0.274,0.457,-0.02246620285621348,-0.0048911482367833825,-0.030262980445047355,0.012043238539070855,0.029871792369945194,-0.019044410642492654,0.008853966542458375,0.014985459893140957
Jessica Shepard,5644,0.117,0.706,-0.589,0.774,-0.657,0.004796441437925236,0.0017249872065046856,0.025505447329864817,0.00856878943092726,0.01880655749439336,-0.004015571214653901,0.023322584810105712,0.02203346757088831
Tiffany Mitchell,6229,0.109,-2.371,2.48,0.911,-0.802,-0.00903610753818801,-0.00970968838915734,-0.013582974580607254,-0.0046530118988944436,0.0172135369833043,0.002610822660803258,-0.015528191452205575,0.006389089960071148
Amanda Zahui B,683,0.083,-1.535,1.618,-1.796,1.879,-0.04187127460228829,0.020259981275306566,-0.044277750502113494,-0.05411952371196466,-0.02632566364735467,0.011102692313747137,-0.03525040779316807,-0.02273806142735424
Emily Engstler,4611,0.079,0.591,-0.512,-0.709,0.788,-0.0037648206061707823,0.021197349834240486,-0.003576809358694477,-0.013107925557461403,-0.019079081889319394,0.00719541195762885,-0.016406010181647168,0.0077344425769169944
Shakira Austin,5322,0.013,-2.177,2.19,0.696,-0.683,-0.01155006564322747,0.014360203105013541,-0.023768923918520563,-0.009480320028522143,0.016421742767500358,0.01834312401273322,0.021370596773041955,-0.011643867355084603
Anastasiia Olairi Kosu,360,-0.035,0.248,-0.283,5.725,-5.76,0.12215982124973568,-0.003955145469998783,0.16127780505344208,-0.03377454361466259,0.0037386021928267343,0.021768215162662086,0.0303888616132246,0.05583336714407436
Kaitlyn Chen,1074,-0.052,-0.26,0.207,-0.502,0.45,-0.04927487139480646,-0.012377206649191758,-0.034774826525505315,0.029946650384409412,0.043715699919359086,-0.020803188416627844,-0.05824750202313905,-0.026375832325187032
Shatori Walker-Kimbrough,8681,-0.063,-0.744,0.681,0.041,-0.104,-0.005701047986435559,0.007207282930560804,-0.042954999179362185,0.001593940061993926,-0.009223215946695174,0.007397753966095294,-0.0007987631372743942,-0.0077681516981666365
DiJonai Carrington,7486,-0.072,0.172,-0.244,1.192,-1.264,0.012514289209829221,0.005013964943974519,0.03041205850388118,0.017505503287819357,-0.011748894496353968,0.021380878724822333,0.008055528279891283,0.0030176406886117113
